longitude,latitude,start_time,end_time,investing_company,destination_country,destination_sector,project_type,destination_city,investment,private_public,product,link,title,local_partner,project
-32.1296707,-52.1064254,2009-01-01,2020-01-30,Exim Bank of China,Brasil,Logística,préstamo,"Rio Grande, Rio Grande do Sul",16.6,Privado,Soja,,Tecon Rio Grande,Wilson Sons,"Financiamiento para que Wilson Sons compre Tecon Rio Grande, una empresa de grano cerca del puerto en el estado de Rio Grande do Sul. También adquirieron equipos de Shanghai Zhenhua Heavy Industries Co., Ltd de China ZPMC."
-34.5906892,-58.3785146,2010-07-01,2020-01-30,China Development Bank,Argentina,Logística,préstamo,Ciudad de Buenos Aires,10000,Público,Soja,https://dialogochino.net/es/infraestructura-es/30573-los-trenes-chinos-avanzan-lentamente-en-america-latina/,China Machinery Engineering Argentina S.A.,China Machinery Engineering Argentina S.A.,"Sistema de trenes / Ministerio de Planificación Federal, Inversión Pública y Servicios - China Machinery Engineering Argentina S.A."
-23.2062147,-47.0194536,2011-12-01,2020-01-30,Chongqing Huapont Pharm Co Ltd,Brasil,Producción,Fusiones y adquisiciones,São Paulo,20,Privado,Soja,,CCAB Agro,CCAB Participações,"El grupo chino Chongqing Huapont Pharm compró una participación del 7,5% en CCAB Agro, brazo de insumos agrícolas del holding CCAB Participações, formado por 16 cooperativas de productores en los estados de Mato Grosso do Sul, Mato Grosso, Bahía, Minas Gerais y Santa Cata."
-12.981056,-38.454184,2011-06-30,2020-01-30,Chongqing Grain Group,Brasil,Producción,Nuevo,"Salvador, Bahia",2000,Privado,Soja,https://dialogochino.net/es/infraestructura-es/30573-los-trenes-chinos-avanzan-lentamente-en-america-latina/,Universo Verde,Universo Verde,"A través de Universo Verde, CGG adquirió una granja en Bahía y otros. Ninguna de las inversiones pareció concretarse."
-34.590036,-58.3834125,2013-09-01,2020-01-30,China South Locomotive & Rolling Stock Corporation (CSR),Argentina,Logística,Fusiones y adquisiciones,Ciudad de Buenos Aires,8.7,Público,Soja,https://dialogochino.net/es/infraestructura-es/30573-los-trenes-chinos-avanzan-lentamente-en-america-latina/,Emprendimientos Ferroviarios S.A.,Emprendimientos Ferroviarios S.A.,Renovación de sistema ferroviario / Emprendimientos Ferroviarios S.A.
-23.572999,-46.697679,2014-01-01,2020-01-30,Cofco,Brasil [Mundo],Procesamiento,Fusiones y adquisiciones,São Paulo,1500,Público,Soja,,Noble,Noble,"Cofco compra Noble, que tuvo un impacto en sus operaciones en cinco estados de Brasil"
-23.593952,-46.687181,2014-01-01,2018-02-07,Cofco,Brasil [Mundo],Procesamiento,Fusiones y adquisiciones,São Paulo,1200,Público,Soja,https://dialogochino.net/es/es-es/1697-por-que-las-companias-agricolas-chinas-son-tan-activas-en-latinoamerica-y-el-caribe/,Nidera,Nidera,"Cofco compra Nidera, que tuvo un impacto en sus operaciones en nueve estados de Brasil"
-23.277181,-51.10974,2011-01-01,2020-01-30,Chemchina,Brasil [Mundo],Producción,Fusiones y adquisiciones,"Londrina, Paraná",0,Público,Soja,https://dialogochino.net/es/agricultura-es/33031-ze-silva-una-voz-disonante-en-la-bancada-ruralista-de-brasil/,Adama Brasil,Adama Brasil,Chemchina compra Adama a nivel global
-25.483384,-49.567962,2014-01-01,2020-01-30,Tide Group,Brasil,Procesamiento,Fusiones y adquisiciones,"Campo Largo, Paraná",0,Privado,Soja,,Tide do Brasil,Prentiss Química,Restaurar la capacidad productiva de Premiss e invertir en investigación y desarrollo de agroquímicos.
-22.879514,-43.228556,2014-03-01,2020-01-30,China Cosco Shipping [former China Shipping Group],Brasil,Logística,Nuevo,São Paulo,11,Público,Carne,https://dialogochino.net/es/agricultura-es/25355-la-demanda-china-por-carne-brasilena-aumenta-los-riesgos-de-deforestacion/,China Shipping South America Holding,China Shipping do Brasil,Establecimiento de China Shipping South America Holding para aumentar la presencia en Brasil
